Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,
554642022469214208,RT @TheRock_BloNo : @pepsispire https://t.co/wlK35OBvwU,Pepsi Spire,pepsispire,2015-01-12T14:12:17.000Z,Mon Jan 12 14:12:17 +0000 2015,0,0,qme,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,https://www.facebook.com/TheRockRestaurant?ref=hl ,0,1,,,
552193343229542401,"RT @PepsiCo : A product of innovative #technology and #design, the @PepsiSpire puts the next great flavor at your fingertips: https://t.co/QxAQj5pyhK",Pepsi Spire,pepsispire,2015-01-05T20:02:06.000Z,Mon Jan 05 20:02:06 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,https://cards.twitter.com/cards/cpj5n/aad5 ,2,1,,,
551007596132704258,@MAProvenzano Thanks for your interest! Your local PepsiCo sales representative can help provide you with details.,Pepsi Spire,pepsispire,2015-01-02T13:30:22.000Z,Fri Jan 02 13:30:22 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,0,,,
547103726918709248,@thevoiceofptbo Great suggestions! Thanks!,Pepsi Spire,pepsispire,2014-12-22T18:57:47.000Z,Mon Dec 22 18:57:47 +0000 2014,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,0,,,
547025022926462978,RT @cactusgal82 : @pepsispire please stay in Canada. Love this tradition of making pop creations at @SUBWAYCanada with my godchild. http://t.co/ZBGXuY8Qcd,Pepsi Spire,pepsispire,2014-12-22T13:45:03.000Z,Mon Dec 22 13:45:03 +0000 2014,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,2,photo,https://pbs.twimg.com/media/B5bL9GlCcAAqWSS.jpg,
545664868838547456,RT @FlipsideFun : FlipSide is proud to announce we now have PEPSI SPIRE™! Choose your Refreshment. Mix in your favorite flavors. Enjoy! http://t.co/uDwcGtPMFX,Pepsi Spire,pepsispire,2014-12-18T19:40:17.000Z,Thu Dec 18 19:40:17 +0000 2014,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/B5Ju8pMIYAEOPMQ.jpg,
542717302631059457,@benostrowsky Thanks for your feedback!,Pepsi Spire,pepsispire,2014-12-10T16:27:42.000Z,Wed Dec 10 16:27:42 +0000 2014,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,0,,,
542716712828039168,Come try #pepsispire in our new @tacojohns location in Wyoming!,Pepsi Spire,pepsispire,2014-12-10T16:25:22.000Z,Wed Dec 10 16:25:22 +0000 2014,0,1,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,1,,,
539820038484918273,RT if you’ve poured a drink on #pepsispire!,Pepsi Spire,pepsispire,2014-12-02T16:35:01.000Z,Tue Dec 02 16:35:01 +0000 2014,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,,,
536927356133593089,Sometimes the perfect fountain soda depends on the perfect type of ice. How do you like your ice? #pepsispire,Pepsi Spire,pepsispire,2014-11-24T17:00:31.000Z,Mon Nov 24 17:00:31 +0000 2014,1,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,,,
